date;location_id;Parameter samengevoegd;scenario_name;unit;Value
24-1-1912;85;Waterstand;Rust 2050;m;9,6
25-1-1912;85;Waterstand;Rust 2050;m;9,48
26-1-1912;85;Waterstand;Rust 2050;m;9,44
27-1-1912;85;Waterstand;Rust 2050;m;9,49
28-1-1912;85;Waterstand;Rust 2050;m;9,49
29-1-1912;85;Waterstand;Rust 2050;m;9,37
30-1-1912;85;Waterstand;Rust 2050;m;9,26
31-1-1912;85;Waterstand;Rust 2050;m;9,19
1-2-1912;85;Waterstand;Rust 2050;m;9,04
2-2-1912;85;Waterstand;Rust 2050;m;8,91
3-2-1912;85;Waterstand;Rust 2050;m;8,83
4-2-1912;85;Waterstand;Rust 2050;m;8,76
5-2-1912;85;Waterstand;Rust 2050;m;8,71
6-2-1912;85;Waterstand;Rust 2050;m;8,64
7-2-1912;85;Waterstand;Rust 2050;m;8,6
8-2-1912;85;Waterstand;Rust 2050;m;8,64
9-2-1912;85;Waterstand;Rust 2050;m;8,7
10-2-1912;85;Waterstand;Rust 2050;m;8,76
11-2-1912;85;Waterstand;Rust 2050;m;8,89
12-2-1912;85;Waterstand;Rust 2050;m;9,03
13-2-1912;85;Waterstand;Rust 2050;m;9,14
14-2-1912;85;Waterstand;Rust 2050;m;9,27
15-2-1912;85;Waterstand;Rust 2050;m;9,4
16-2-1912;85;Waterstand;Rust 2050;m;9,49
17-2-1912;85;Waterstand;Rust 2050;m;9,51
18-2-1912;85;Waterstand;Rust 2050;m;9,5
19-2-1912;85;Waterstand;Rust 2050;m;9,41
20-2-1912;85;Waterstand;Rust 2050;m;9,31
21-2-1912;85;Waterstand;Rust 2050;m;9,23
22-2-1912;85;Waterstand;Rust 2050;m;9,17
23-2-1912;85;Waterstand;Rust 2050;m;9,15
24-2-1912;85;Waterstand;Rust 2050;m;9,21
25-2-1912;85;Waterstand;Rust 2050;m;9,51
26-2-1912;85;Waterstand;Rust 2050;m;9,98
27-2-1912;85;Waterstand;Rust 2050;m;10,48
28-2-1912;85;Waterstand;Rust 2050;m;10,89
29-2-1912;85;Waterstand;Rust 2050;m;11,04
1-3-1912;85;Waterstand;Rust 2050;m;10,98
2-3-1912;85;Waterstand;Rust 2050;m;10,79
3-3-1912;85;Waterstand;Rust 2050;m;10,54
4-3-1912;85;Waterstand;Rust 2050;m;10,31
5-3-1912;85;Waterstand;Rust 2050;m;10,22
6-3-1912;85;Waterstand;Rust 2050;m;10,26
7-3-1912;85;Waterstand;Rust 2050;m;10,43
8-3-1912;85;Waterstand;Rust 2050;m;10,74
9-3-1912;85;Waterstand;Rust 2050;m;11,26
10-3-1912;85;Waterstand;Rust 2050;m;11,82
11-3-1912;85;Waterstand;Rust 2050;m;11,91
12-3-1912;85;Waterstand;Rust 2050;m;11,65
13-3-1912;85;Waterstand;Rust 2050;m;11,27
14-3-1912;85;Waterstand;Rust 2050;m;10,87
15-3-1912;85;Waterstand;Rust 2050;m;10,53
16-3-1912;85;Waterstand;Rust 2050;m;10,3
17-3-1912;85;Waterstand;Rust 2050;m;10,11
18-3-1912;85;Waterstand;Rust 2050;m;9,95
19-3-1912;85;Waterstand;Rust 2050;m;9,78
20-3-1912;85;Waterstand;Rust 2050;m;9,62
21-3-1912;85;Waterstand;Rust 2050;m;9,62
22-3-1912;85;Waterstand;Rust 2050;m;9,83
23-3-1912;85;Waterstand;Rust 2050;m;10,09
24-3-1912;85;Waterstand;Rust 2050;m;10,29
25-3-1912;85;Waterstand;Rust 2050;m;10,42
26-3-1912;85;Waterstand;Rust 2050;m;10,6
27-3-1912;85;Waterstand;Rust 2050;m;10,87
28-3-1912;85;Waterstand;Rust 2050;m;11,05
29-3-1912;85;Waterstand;Rust 2050;m;11,1
30-3-1912;85;Waterstand;Rust 2050;m;11
31-3-1912;85;Waterstand;Rust 2050;m;10,76
1-4-1912;85;Waterstand;Rust 2050;m;10,46
2-4-1912;85;Waterstand;Rust 2050;m;10,27
3-4-1912;85;Waterstand;Rust 2050;m;10,11
4-4-1912;85;Waterstand;Rust 2050;m;9,99
5-4-1912;85;Waterstand;Rust 2050;m;9,98
6-4-1912;85;Waterstand;Rust 2050;m;10,09
7-4-1912;85;Waterstand;Rust 2050;m;10,14
8-4-1912;85;Waterstand;Rust 2050;m;10,1
9-4-1912;85;Waterstand;Rust 2050;m;9,99
10-4-1912;85;Waterstand;Rust 2050;m;9,87
11-4-1912;85;Waterstand;Rust 2050;m;9,78
12-4-1912;85;Waterstand;Rust 2050;m;9,72
13-4-1912;85;Waterstand;Rust 2050;m;9,69
14-4-1912;85;Waterstand;Rust 2050;m;9,69
15-4-1912;85;Waterstand;Rust 2050;m;9,69
16-4-1912;85;Waterstand;Rust 2050;m;9,66
17-4-1912;85;Waterstand;Rust 2050;m;9,58
18-4-1912;85;Waterstand;Rust 2050;m;9,47
19-4-1912;85;Waterstand;Rust 2050;m;9,32
20-4-1912;85;Waterstand;Rust 2050;m;9,2
21-4-1912;85;Waterstand;Rust 2050;m;9,11
22-4-1912;85;Waterstand;Rust 2050;m;9
23-4-1912;85;Waterstand;Rust 2050;m;8,97
24-4-1912;85;Waterstand;Rust 2050;m;8,89
25-4-1912;85;Waterstand;Rust 2050;m;8,83
26-4-1912;85;Waterstand;Rust 2050;m;8,78
27-4-1912;85;Waterstand;Rust 2050;m;8,73
28-4-1912;85;Waterstand;Rust 2050;m;8,69
29-4-1912;85;Waterstand;Rust 2050;m;8,65
30-4-1912;85;Waterstand;Rust 2050;m;8,62
1-5-1912;85;Waterstand;Rust 2050;m;8,6
2-5-1912;85;Waterstand;Rust 2050;m;8,57
3-5-1912;85;Waterstand;Rust 2050;m;8,53
4-5-1912;85;Waterstand;Rust 2050;m;8,49
5-5-1912;85;Waterstand;Rust 2050;m;8,46
6-5-1912;85;Waterstand;Rust 2050;m;8,44
7-5-1912;85;Waterstand;Rust 2050;m;8,43
8-5-1912;85;Waterstand;Rust 2050;m;8,42
9-5-1912;85;Waterstand;Rust 2050;m;8,41
10-5-1912;85;Waterstand;Rust 2050;m;8,42
11-5-1912;85;Waterstand;Rust 2050;m;8,45
12-5-1912;85;Waterstand;Rust 2050;m;8,52
13-5-1912;85;Waterstand;Rust 2050;m;8,66
14-5-1912;85;Waterstand;Rust 2050;m;8,79
15-5-1912;85;Waterstand;Rust 2050;m;8,88
16-5-1912;85;Waterstand;Rust 2050;m;8,95
17-5-1912;85;Waterstand;Rust 2050;m;9,01
18-5-1912;85;Waterstand;Rust 2050;m;9,08
19-5-1912;85;Waterstand;Rust 2050;m;9,13
20-5-1912;85;Waterstand;Rust 2050;m;9,17
21-5-1912;85;Waterstand;Rust 2050;m;9,23
22-5-1912;85;Waterstand;Rust 2050;m;9,34
23-5-1912;85;Waterstand;Rust 2050;m;9,44
24-5-1912;85;Waterstand;Rust 2050;m;9,46
25-5-1912;85;Waterstand;Rust 2050;m;9,44
26-5-1912;85;Waterstand;Rust 2050;m;9,43
27-5-1912;85;Waterstand;Rust 2050;m;9,45
28-5-1912;85;Waterstand;Rust 2050;m;9,52
29-5-1912;85;Waterstand;Rust 2050;m;9,65
30-5-1912;85;Waterstand;Rust 2050;m;9,79
31-5-1912;85;Waterstand;Rust 2050;m;9,87
1-6-1912;85;Waterstand;Rust 2050;m;9,79
2-6-1912;85;Waterstand;Rust 2050;m;9,62
3-6-1912;85;Waterstand;Rust 2050;m;9,51
4-6-1912;85;Waterstand;Rust 2050;m;9,48
5-6-1912;85;Waterstand;Rust 2050;m;9,43
6-6-1912;85;Waterstand;Rust 2050;m;9,37
7-6-1912;85;Waterstand;Rust 2050;m;9,31
8-6-1912;85;Waterstand;Rust 2050;m;9,27
9-6-1912;85;Waterstand;Rust 2050;m;9,22
10-6-1912;85;Waterstand;Rust 2050;m;9,16
11-6-1912;85;Waterstand;Rust 2050;m;9,13
12-6-1912;85;Waterstand;Rust 2050;m;9,09
13-6-1912;85;Waterstand;Rust 2050;m;9,07
14-6-1912;85;Waterstand;Rust 2050;m;9,08
15-6-1912;85;Waterstand;Rust 2050;m;9,12
16-6-1912;85;Waterstand;Rust 2050;m;9,12
17-6-1912;85;Waterstand;Rust 2050;m;9,15
18-6-1912;85;Waterstand;Rust 2050;m;9,37
19-6-1912;85;Waterstand;Rust 2050;m;9,71
20-6-1912;85;Waterstand;Rust 2050;m;9,98
21-6-1912;85;Waterstand;Rust 2050;m;10,03
22-6-1912;85;Waterstand;Rust 2050;m;9,91
23-6-1912;85;Waterstand;Rust 2050;m;9,71
24-6-1912;85;Waterstand;Rust 2050;m;9,54
25-6-1912;85;Waterstand;Rust 2050;m;9,42
26-6-1912;85;Waterstand;Rust 2050;m;9,34
27-6-1912;85;Waterstand;Rust 2050;m;9,24
28-6-1912;85;Waterstand;Rust 2050;m;9,19
29-6-1912;85;Waterstand;Rust 2050;m;9,27
30-6-1912;85;Waterstand;Rust 2050;m;9,38
1-7-1912;85;Waterstand;Rust 2050;m;9,42
2-7-1912;85;Waterstand;Rust 2050;m;9,4
3-7-1912;85;Waterstand;Rust 2050;m;9,37
4-7-1912;85;Waterstand;Rust 2050;m;9,34
5-7-1912;85;Waterstand;Rust 2050;m;9,32
6-7-1912;85;Waterstand;Rust 2050;m;9,29
7-7-1912;85;Waterstand;Rust 2050;m;9,23
8-7-1912;85;Waterstand;Rust 2050;m;9,2
9-7-1912;85;Waterstand;Rust 2050;m;9,23
10-7-1912;85;Waterstand;Rust 2050;m;9,21
11-7-1912;85;Waterstand;Rust 2050;m;9,18
12-7-1912;85;Waterstand;Rust 2050;m;9,17
13-7-1912;85;Waterstand;Rust 2050;m;9,16
14-7-1912;85;Waterstand;Rust 2050;m;9,04
15-7-1912;85;Waterstand;Rust 2050;m;8,98
16-7-1912;85;Waterstand;Rust 2050;m;8,93
17-7-1912;85;Waterstand;Rust 2050;m;8,87
18-7-1912;85;Waterstand;Rust 2050;m;8,8
19-7-1912;85;Waterstand;Rust 2050;m;8,75
20-7-1912;85;Waterstand;Rust 2050;m;8,71
21-7-1912;85;Waterstand;Rust 2050;m;8,69
22-7-1912;85;Waterstand;Rust 2050;m;8,68
23-7-1912;85;Waterstand;Rust 2050;m;8,69
24-7-1912;85;Waterstand;Rust 2050;m;8,73
25-7-1912;85;Waterstand;Rust 2050;m;8,84
26-7-1912;85;Waterstand;Rust 2050;m;8,97
27-7-1912;85;Waterstand;Rust 2050;m;9,01
28-7-1912;85;Waterstand;Rust 2050;m;8,96
29-7-1912;85;Waterstand;Rust 2050;m;8,89
30-7-1912;85;Waterstand;Rust 2050;m;8,85
31-7-1912;85;Waterstand;Rust 2050;m;8,81
1-8-1912;85;Waterstand;Rust 2050;m;8,77
2-8-1912;85;Waterstand;Rust 2050;m;8,73
3-8-1912;85;Waterstand;Rust 2050;m;8,71
4-8-1912;85;Waterstand;Rust 2050;m;8,71
5-8-1912;85;Waterstand;Rust 2050;m;8,71
6-8-1912;85;Waterstand;Rust 2050;m;8,75
7-8-1912;85;Waterstand;Rust 2050;m;8,85
8-8-1912;85;Waterstand;Rust 2050;m;8,95
9-8-1912;85;Waterstand;Rust 2050;m;9,03
10-8-1912;85;Waterstand;Rust 2050;m;9,14
11-8-1912;85;Waterstand;Rust 2050;m;9,26
12-8-1912;85;Waterstand;Rust 2050;m;9,36
13-8-1912;85;Waterstand;Rust 2050;m;9,47
14-8-1912;85;Waterstand;Rust 2050;m;9,55
15-8-1912;85;Waterstand;Rust 2050;m;9,59
16-8-1912;85;Waterstand;Rust 2050;m;9,69
17-8-1912;85;Waterstand;Rust 2050;m;9,87
18-8-1912;85;Waterstand;Rust 2050;m;10,11
19-8-1912;85;Waterstand;Rust 2050;m;10,29
20-8-1912;85;Waterstand;Rust 2050;m;10,3
21-8-1912;85;Waterstand;Rust 2050;m;10,17
22-8-1912;85;Waterstand;Rust 2050;m;9,99
23-8-1912;85;Waterstand;Rust 2050;m;9,83
24-8-1912;85;Waterstand;Rust 2050;m;9,74
25-8-1912;85;Waterstand;Rust 2050;m;9,77
26-8-1912;85;Waterstand;Rust 2050;m;9,9
27-8-1912;85;Waterstand;Rust 2050;m;9,98
28-8-1912;85;Waterstand;Rust 2050;m;10,12
29-8-1912;85;Waterstand;Rust 2050;m;10,32
30-8-1912;85;Waterstand;Rust 2050;m;10,38
31-8-1912;85;Waterstand;Rust 2050;m;10,43
1-9-1912;85;Waterstand;Rust 2050;m;10,61
2-9-1912;85;Waterstand;Rust 2050;m;10,74
3-9-1912;85;Waterstand;Rust 2050;m;10,74
4-9-1912;85;Waterstand;Rust 2050;m;10,58
5-9-1912;85;Waterstand;Rust 2050;m;10,38
6-9-1912;85;Waterstand;Rust 2050;m;10,3
7-9-1912;85;Waterstand;Rust 2050;m;10,39
8-9-1912;85;Waterstand;Rust 2050;m;10,57
9-9-1912;85;Waterstand;Rust 2050;m;10,86
10-9-1912;85;Waterstand;Rust 2050;m;11,33
11-9-1912;85;Waterstand;Rust 2050;m;11,78
12-9-1912;85;Waterstand;Rust 2050;m;12,26
13-9-1912;85;Waterstand;Rust 2050;m;12,67
14-9-1912;85;Waterstand;Rust 2050;m;12,66
15-9-1912;85;Waterstand;Rust 2050;m;12,37
16-9-1912;85;Waterstand;Rust 2050;m;11,97
17-9-1912;85;Waterstand;Rust 2050;m;11,55
18-9-1912;85;Waterstand;Rust 2050;m;11,14
19-9-1912;85;Waterstand;Rust 2050;m;10,81
20-9-1912;85;Waterstand;Rust 2050;m;10,54
21-9-1912;85;Waterstand;Rust 2050;m;10,3
22-9-1912;85;Waterstand;Rust 2050;m;10,1
23-9-1912;85;Waterstand;Rust 2050;m;9,92
24-9-1912;85;Waterstand;Rust 2050;m;9,72
25-9-1912;85;Waterstand;Rust 2050;m;9,52
26-9-1912;85;Waterstand;Rust 2050;m;9,35
27-9-1912;85;Waterstand;Rust 2050;m;9,19
28-9-1912;85;Waterstand;Rust 2050;m;9,05
29-9-1912;85;Waterstand;Rust 2050;m;9
30-9-1912;85;Waterstand;Rust 2050;m;8,95
1-10-1912;85;Waterstand;Rust 2050;m;8,86
2-10-1912;85;Waterstand;Rust 2050;m;8,82
3-10-1912;85;Waterstand;Rust 2050;m;8,81
4-10-1912;85;Waterstand;Rust 2050;m;8,82
5-10-1912;85;Waterstand;Rust 2050;m;8,83
6-10-1912;85;Waterstand;Rust 2050;m;8,86
7-10-1912;85;Waterstand;Rust 2050;m;8,93
8-10-1912;85;Waterstand;Rust 2050;m;9,02
9-10-1912;85;Waterstand;Rust 2050;m;9,07
10-10-1912;85;Waterstand;Rust 2050;m;9,05
11-10-1912;85;Waterstand;Rust 2050;m;9
12-10-1912;85;Waterstand;Rust 2050;m;8,93
13-10-1912;85;Waterstand;Rust 2050;m;8,84
14-10-1912;85;Waterstand;Rust 2050;m;8,79
15-10-1912;85;Waterstand;Rust 2050;m;8,75
16-10-1912;85;Waterstand;Rust 2050;m;8,73
17-10-1912;85;Waterstand;Rust 2050;m;8,7
18-10-1912;85;Waterstand;Rust 2050;m;8,67
19-10-1912;85;Waterstand;Rust 2050;m;8,65
20-10-1912;85;Waterstand;Rust 2050;m;8,62
21-10-1912;85;Waterstand;Rust 2050;m;8,61
22-10-1912;85;Waterstand;Rust 2050;m;8,61
23-10-1912;85;Waterstand;Rust 2050;m;8,64
24-10-1912;85;Waterstand;Rust 2050;m;8,69
25-10-1912;85;Waterstand;Rust 2050;m;8,79
26-10-1912;85;Waterstand;Rust 2050;m;8,98
27-10-1912;85;Waterstand;Rust 2050;m;9,28
28-10-1912;85;Waterstand;Rust 2050;m;9,68
29-10-1912;85;Waterstand;Rust 2050;m;10,1
30-10-1912;85;Waterstand;Rust 2050;m;10,51
31-10-1912;85;Waterstand;Rust 2050;m;10,84
1-11-1912;85;Waterstand;Rust 2050;m;11,28
2-11-1912;85;Waterstand;Rust 2050;m;11,91
3-11-1912;85;Waterstand;Rust 2050;m;12,56
4-11-1912;85;Waterstand;Rust 2050;m;12,83
5-11-1912;85;Waterstand;Rust 2050;m;12,72
6-11-1912;85;Waterstand;Rust 2050;m;12,42
7-11-1912;85;Waterstand;Rust 2050;m;12,07
8-11-1912;85;Waterstand;Rust 2050;m;11,63
9-11-1912;85;Waterstand;Rust 2050;m;11,23
10-11-1912;85;Waterstand;Rust 2050;m;10,9
11-11-1912;85;Waterstand;Rust 2050;m;10,69
12-11-1912;85;Waterstand;Rust 2050;m;10,67
13-11-1912;85;Waterstand;Rust 2050;m;10,95
14-11-1912;85;Waterstand;Rust 2050;m;11,35
15-11-1912;85;Waterstand;Rust 2050;m;11,78
16-11-1912;85;Waterstand;Rust 2050;m;12,22
17-11-1912;85;Waterstand;Rust 2050;m;12,39
18-11-1912;85;Waterstand;Rust 2050;m;12,23
19-11-1912;85;Waterstand;Rust 2050;m;11,89
20-11-1912;85;Waterstand;Rust 2050;m;11,54
21-11-1912;85;Waterstand;Rust 2050;m;11,33
22-11-1912;85;Waterstand;Rust 2050;m;11,34
23-11-1912;85;Waterstand;Rust 2050;m;11,44
24-11-1912;85;Waterstand;Rust 2050;m;11,43
25-11-1912;85;Waterstand;Rust 2050;m;11,35
26-11-1912;85;Waterstand;Rust 2050;m;11,23
27-11-1912;85;Waterstand;Rust 2050;m;11,05
28-11-1912;85;Waterstand;Rust 2050;m;10,89
29-11-1912;85;Waterstand;Rust 2050;m;10,79
30-11-1912;85;Waterstand;Rust 2050;m;10,72
1-12-1912;85;Waterstand;Rust 2050;m;10,74
2-12-1912;85;Waterstand;Rust 2050;m;10,82
3-12-1912;85;Waterstand;Rust 2050;m;10,99
4-12-1912;85;Waterstand;Rust 2050;m;11,23
5-12-1912;85;Waterstand;Rust 2050;m;11,3
6-12-1912;85;Waterstand;Rust 2050;m;11,11
7-12-1912;85;Waterstand;Rust 2050;m;10,81
8-12-1912;85;Waterstand;Rust 2050;m;10,5
9-12-1912;85;Waterstand;Rust 2050;m;10,19
10-12-1912;85;Waterstand;Rust 2050;m;9,91
11-12-1912;85;Waterstand;Rust 2050;m;9,69
12-12-1912;85;Waterstand;Rust 2050;m;9,55
13-12-1912;85;Waterstand;Rust 2050;m;9,46
14-12-1912;85;Waterstand;Rust 2050;m;9,4
15-12-1912;85;Waterstand;Rust 2050;m;9,43
16-12-1912;85;Waterstand;Rust 2050;m;9,72
17-12-1912;85;Waterstand;Rust 2050;m;10,55
18-12-1912;85;Waterstand;Rust 2050;m;11,51
19-12-1912;85;Waterstand;Rust 2050;m;11,95
20-12-1912;85;Waterstand;Rust 2050;m;12,12
21-12-1912;85;Waterstand;Rust 2050;m;12,25
22-12-1912;85;Waterstand;Rust 2050;m;12,26
23-12-1912;85;Waterstand;Rust 2050;m;12,07
24-12-1912;85;Waterstand;Rust 2050;m;11,66
25-12-1912;85;Waterstand;Rust 2050;m;11,19
26-12-1912;85;Waterstand;Rust 2050;m;10,84
27-12-1912;85;Waterstand;Rust 2050;m;
28-12-1912;85;Waterstand;Rust 2050;m;
29-12-1912;85;Waterstand;Rust 2050;m;
30-12-1912;85;Waterstand;Rust 2050;m;
31-12-1912;85;Waterstand;Rust 2050;m;
2-1-1913;85;Waterstand;Rust 2050;m;12,26
3-1-1913;85;Waterstand;Rust 2050;m;11,92
4-1-1913;85;Waterstand;Rust 2050;m;11,48
5-1-1913;85;Waterstand;Rust 2050;m;11,03
6-1-1913;85;Waterstand;Rust 2050;m;10,65
7-1-1913;85;Waterstand;Rust 2050;m;10,37
8-1-1913;85;Waterstand;Rust 2050;m;10,17
9-1-1913;85;Waterstand;Rust 2050;m;10
10-1-1913;85;Waterstand;Rust 2050;m;9,82
11-1-1913;85;Waterstand;Rust 2050;m;9,65
12-1-1913;85;Waterstand;Rust 2050;m;9,5
13-1-1913;85;Waterstand;Rust 2050;m;9,35
14-1-1913;85;Waterstand;Rust 2050;m;9,2
15-1-1913;85;Waterstand;Rust 2050;m;9,11
16-1-1913;85;Waterstand;Rust 2050;m;9,15
17-1-1913;85;Waterstand;Rust 2050;m;9,25
18-1-1913;85;Waterstand;Rust 2050;m;9,32
19-1-1913;85;Waterstand;Rust 2050;m;9,44
20-1-1913;85;Waterstand;Rust 2050;m;9,65
21-1-1913;85;Waterstand;Rust 2050;m;10,04
22-1-1913;85;Waterstand;Rust 2050;m;10,71
23-1-1913;85;Waterstand;Rust 2050;m;11,69
24-1-1913;85;Waterstand;Rust 2050;m;12,43
25-1-1913;85;Waterstand;Rust 2050;m;12,78
26-1-1913;85;Waterstand;Rust 2050;m;13,07
27-1-1913;85;Waterstand;Rust 2050;m;13,28
28-1-1913;85;Waterstand;Rust 2050;m;13,35
29-1-1913;85;Waterstand;Rust 2050;m;13,17
30-1-1913;85;Waterstand;Rust 2050;m;12,77
31-1-1913;85;Waterstand;Rust 2050;m;12,33
1-2-1913;85;Waterstand;Rust 2050;m;11,95
2-2-1913;85;Waterstand;Rust 2050;m;11,86
3-2-1913;85;Waterstand;Rust 2050;m;12,35
4-2-1913;85;Waterstand;Rust 2050;m;13,18
5-2-1913;85;Waterstand;Rust 2050;m;13,66
6-2-1913;85;Waterstand;Rust 2050;m;13,72
7-2-1913;85;Waterstand;Rust 2050;m;13,56
8-2-1913;85;Waterstand;Rust 2050;m;13,25
9-2-1913;85;Waterstand;Rust 2050;m;12,81
10-2-1913;85;Waterstand;Rust 2050;m;12,35
11-2-1913;85;Waterstand;Rust 2050;m;11,89
12-2-1913;85;Waterstand;Rust 2050;m;11,43
13-2-1913;85;Waterstand;Rust 2050;m;11,03
