Datum,Makkink (mm),G_lower,G_center,G_upper,H_lower,H_center,H_upper,Hplus_lower,Hplus_center,Hplus_upper,L_lower,L_center,L_upper
2/22/1906,0.8,0.252,0.2508,0.2492,0.252,0.2508,0.2492,0.252,0.2508,0.2492,0.252,0.2508,0.2492
2/23/1906,0.412,0,0,0,0,0,0,0,0,0,0,0,0
2/24/1906,0.502,0,0,0,0,0,0,0,0,0,0,0,0
2/25/1906,0.403,2.5906,2.5606,2.5206,2.5906,2.5606,2.5206,2.5906,2.5606,2.5206,2.5906,2.5606,2.5206
2/26/1906,0.441,0,0,0,0,0,0,0,0,0,0,0,0
2/27/1906,0.571,1.002,0.972,0.9422,1.002,0.972,0.9422,1.002,0.972,0.9422,1.002,0.972,0.9422
2/28/1906,0.903,4.2402,4.2301,4.2256,4.2402,4.2301,4.2256,4.2402,4.2301,4.2256,4.2402,4.2301,4.2256
3/1/1906,0.473,8.6836,8.6836,8.6878,8.6836,8.6836,8.6878,8.6836,8.6836,8.6878,8.6836,8.6836,8.6878
3/2/1906,0.447,4.3033,4.2632,4.2333,4.3033,4.2632,4.2333,4.3033,4.2632,4.2333,4.3033,4.2632,4.2333
3/3/1906,0.755,0,0,0,0,0,0,0,0,0,0,0,0
3/4/1906,0.839,0,0,0,0,0,0,0,0,0,0,0,0
3/5/1906,1.69,0,0,0,0,0,0,0,0,0,0,0,0
3/6/1906,1.632,0,0,0,0,0,0,0,0,0,0,0,0
3/7/1906,1.993,0,0,0,0,0,0,0,0,0,0,0,0
3/8/1906,0.623,11.9885,12.1086,12.2185,11.9885,12.1086,12.2185,11.9885,12.1086,12.2185,11.9885,12.1086,12.2185
3/9/1906,1.332,3.1057,3.07,3.0432,3.1057,3.07,3.0432,3.1057,3.07,3.0432,3.1057,3.07,3.0432
3/10/1906,1.261,0.3728,0.3685,0.3653,0.3728,0.3685,0.3653,0.3728,0.3685,0.3653,0.3728,0.3685,0.3653
3/11/1906,0.557,4.8146,4.736,4.677,4.8146,4.736,4.677,4.8146,4.736,4.677,4.8146,4.736,4.677
3/12/1906,1.099,2.8705,2.8456,2.8132,2.8705,2.8456,2.8132,2.8705,2.8456,2.8132,2.8705,2.8456,2.8132
3/13/1906,0.805,0.7484,0.7419,0.7334,0.7484,0.7419,0.7334,0.7484,0.7419,0.7334,0.7484,0.7419,0.7334
3/14/1906,0.828,0.3869,0.3749,0.3659,0.3869,0.3749,0.3659,0.3869,0.3749,0.3659,0.3869,0.3749,0.3659
3/15/1906,0.554,10.1472,10.1692,10.1983,10.1472,10.1692,10.1983,10.1472,10.1692,10.1983,10.1472,10.1692,10.1983
3/16/1906,0.637,4.608,4.5779,4.5479,4.608,4.5779,4.5479,4.608,4.5779,4.5479,4.608,4.5779,4.5479
3/17/1906,1.701,0,0,0,0,0,0,0,0,0,0,0,0
3/18/1906,0.805,0.9855,0.9556,0.9257,0.9855,0.9556,0.9257,0.9855,0.9556,0.9257,0.9855,0.9556,0.9257
3/19/1906,1.466,0.2709,0.2508,0.2408,0.2709,0.2508,0.2408,0.2709,0.2508,0.2408,0.2709,0.2508,0.2408
3/20/1906,1.15,0,0,0,0,0,0,0,0,0,0,0,0
3/21/1906,1.337,0,0,0,0,0,0,0,0,0,0,0,0
3/22/1906,1.14,0,0,0,0,0,0,0,0,0,0,0,0
